Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703
SVM,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9950396825396826
XGBoost,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.9933862433862434
Random Forest,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9937169312169313
