Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
XGBoost,0.7532467532467533,0.6666666666666666,0.5925925925925926,0.6274509803921569,0.8070370370370371
SVM,0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6,0.7963888888888889
Random Forest,0.7337662337662337,0.6444444444444445,0.5370370370370371,0.5858585858585859,0.8170370370370371
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454,0.812962962962963
